"Director"	"Year"	"AvgAS"	"AvgCS"
"Adrienne Shelly"	2007	55.3373493975904	56.0722891566265
"Afonso Poyart"	2016	55.2634730538922	55.8862275449102
"Agnès Jaoui"	2010	55.1845238095238	56.0059523809524
"Agnès Varda"	2001	55.3668639053254	56.2189349112426
"Agnès Varda"	2008	55.5588235294118	56.4529411764706
"Agnès Varda"	2017	55.7602339181287	56.7017543859649
"Agnieszka Holland"	1988	55.7790697674419	56.8372093023256
"Agnieszka Holland"	1993	55.9132947976879	57
"Agnieszka Holland"	1995	55.9425287356322	56.816091954023
"Agnieszka Holland"	2006	55.9428571428571	56.6514285714286
"Agnieszka Holland"	2012	56.0795454545455	56.8295454545455
"Agnieszka Wojtowicz-Vosloo"	2010	55.9435028248588	56.6553672316384
"Agostino Ferrente"	2008	55.9550561797753	56.5
"Agustín Díaz Yanes"	2003	56.0167597765363	56.3966480446927
"Ahron Keshales"	2014	55.9889502762431	56.6243093922652
"Ai Weiwei"	2017	56.1208791208791	56.8186813186813
"Aileen Ritchie"	2000	56.0874316939891	56.6830601092896
"Aisling Walsh"	2017	56.2663043478261	56.8586956521739
"Aiyana Elliot"	2000	56.3783783783784	57.0594594594595
"Aiyanna Elliott"	2000	56.489247311828	57.258064516129
"AJ Schnack"	2007	56.5989304812834	57.3475935828877
"Ajmal Zaheer Ahmad"	2014	56.468085106383	57.1382978723404
"Aki Kaurismäki"	2002	56.6455026455026	57.3544973544974
"Akio Jissoji"	2006	56.6	57.4736842105263
"Akira Kurosawa"	1951	56.7905759162304	57.6858638743456
"Akira Kurosawa"	1956	57.2072538860104	58.1243523316062
"Akira Kurosawa"	1957	57.3969072164948	58.3298969072165
"Akira Kurosawa"	1958	57.5794871794872	58.5435897435897
"Akira Kurosawa"	1961	57.7755102040816	58.7397959183673
"Akira Kurosawa"	1963	58.1515151515151	59.1262626262626
"Akira Kurosawa"	1975	58.3316582914573	59.1758793969849
"Akira Kurosawa"	1980	58.5	59.315
"Akira Kurosawa"	1985	58.681592039801	59.4975124378109
"Akira Kurosawa"	1990	58.8168316831683	59.4950495049505
"Akiva Goldsman"	2014	58.7389162561576	59.2660098522167
"Akiva Schaffer"	2007	58.7647058823529	59.171568627451
"Akiva Schaffer"	2012	58.6682926829268	58.9658536585366
"Akiva Schaffer"	2016	58.6941747572816	59.0582524271845
"Al Corley"	2005	58.6666666666667	58.8309178743961
"Al Pacino"	1996	58.7644230769231	58.9375
"Al Reinert"	1989	58.9186602870813	59.1004784688995
"Alê Abreu"	2015	59.0047619047619	59.2714285714286
"Alain Berliner"	1997	59.1516587677725	59.4218009478673
"Alain Corneau"	1991	59.2924528301887	59.561320754717
"Alain Corneau"	2011	59.2347417840376	59.5774647887324
"Alain Gagnol"	2012	59.2943925233645	59.6822429906542
"Alain Gsponer"	2014	59.3162790697674	59.6837209302326
"Alain Guiraudie"	2014	59.3425925925926	59.837962962963
"Alain Jakubowicz"	2005	59.4193548387097	59.8018433179723
"Alain Resnais"	1955	59.5825688073394	59.9862385321101
"Alain Resnais"	1960	59.7168949771689	60.1689497716895
"Alain Resnais"	1963	59.8045454545455	60.3090909090909
"Alain Resnais"	1983	59.7149321266968	60.3755656108597
"Alain Resnais"	2010	59.6126126126126	60.4054054054054
