"Writter"	"Year"	"AvgAS"	"AvgCS"
"Adi Hasak"	1997	54.0754716981132	49.0490566037736
"Adi Hasak"	2010	54.0751879699248	49.0037593984962
"Adi Hasak"	2014	54.0337078651685	48.9250936329588
"Adirek Wattaleela"	2009	53.9738805970149	48.7723880597015
"Aditya Assarat"	2007	53.9814126394052	48.9144981412639
"Aditya Chopra"	2004	54.1074074074074	49.0703703703704
"Aditya Chopra"	2012	54.1549815498155	49.2324723247232
"Adiya Imri Orr"	2013	54.1066176470588	49.2242647058824
"Adloy Adlawan"	2012	54.1245421245421	49.2893772893773
"Adolfo Franci"	1947	54.2591240875912	49.4744525547445
"Adolfo Franci"	1949	54.4036363636364	49.6509090909091
"Adolph Green"	1949	54.5631768953069	49.870036101083
"Adolph Green"	1952	54.7086330935252	50.0503597122302
"Adolph Green"	1953	54.8064516129032	50.2293906810036
"Adolph Green"	1955	54.8785714285714	50.4071428571429
"Adolph Green"	1958	55.0142348754448	50.5551601423488
"Adolph Green"	1960	55.0921985815603	50.6524822695035
"Adolph Green"	1964	55.1272084805654	50.5335689045936
"Adrián Caetano"	2004	55.2077464788732	50.5669014084507
"Adrián Cruz"	2006	55.1122807017544	50.540350877193
"Adrian Butchart"	2007	55.1363636363636	50.5
"Adrian Dunbar"	1991	55.212543554007	50.6480836236934
"Adrian García Bogliano"	2012	55.1111111111111	50.6458333333333
"Adrian García Bogliano"	2013	55.0242214532872	50.6159169550173
"Adrian Grenier"	2010	55.1586206896552	50.7862068965517
"Adrian Hodges"	1999	55.1580756013746	50.8316151202749
"Adrian Hodges"	2011	55.2123287671233	50.9417808219178
"Adrian Molina"	2017	55.3447098976109	51.098976109215
"Adrian Scott"	1943	55.3979591836735	51.265306122449
"Adriana Trigiani"	2015	55.393220338983	51.2101694915254
"Adrien Joyce"	1967	55.4290540540541	51.375
"Adrien Joyce"	1970	55.5252525252525	51.4949494949495
"Adrien Joyce"	1975	55.4597315436242	51.3892617449664
"Adrienne Shelly"	2007	55.5217391304348	51.5183946488294
"Adrienne Shelly"	2009	55.42	51.42
"Aeneas MacKenzie"	1939	55.4518272425249	51.485049833887
"Aeneas MacKenzie"	1951	55.5198675496689	51.6456953642384
"Aeneas MacKenzie"	1952	55.5511551155115	51.7359735973597
"Aeneas MacKenzie"	1956	55.6546052631579	51.875
"Agatha Christie"	1963	55.7114754098361	52.0327868852459
"Age"	1964	55.7941176470588	52.1764705882353
"Agnès Jaoui"	2010	55.7491856677524	52.2540716612378
"Agnès Varda"	2008	55.8538961038961	52.3961038961039
"Agnieszka Holland"	1988	55.8640776699029	52.4854368932039
"Agnieszka Holland"	1993	55.9838709677419	52.6322580645161
"Agnieszka Wojtowicz-Vosloo"	2010	55.9067524115756	52.5466237942122
"Agota Kristof"	2014	55.9391025641026	52.5929487179487
"Agustín Almodóvar"	2011	56.0287539936102	52.6805111821086
"Agustín Díaz Yanes"	2003	56.0636942675159	52.6337579617834
"Ah Cheng"	2002	56.0920634920635	52.7460317460317
"Ahmet Servet Golbol"	2008	56.1487341772152	52.8386075949367
"Ahron Keshales"	2014	56.1892744479495	52.9148264984227
"Ai Kennedy"	2001	56.2704402515723	52.9496855345912
"Aida Bortnik"	1985	56.475	53.24375
"Aida Bortnik"	1989	56.4423676012461	53.208722741433
"Ailbhe Keogan"	2014	56.4347826086956	53.3198757763975
"Aimee Lagos"	2014	56.4303405572755	53.1826625386997
"Aiyanna Elliott"	2000	56.4938271604938	53.3086419753086
"Ajmal Zaheer Ahmad"	2014	56.4184615384615	53.2
"Akarsh Khurana"	2006	56.4662576687117	53.3435582822086
"Akarsh Khurna"	2010	56.4525993883792	53.4159021406728
"Ake Eamchuen"	2009	56.4420731707317	53.3993902439024
"Aki Kaurismäki"	2002	56.5440729483283	53.5349544072948
"Akinari Ueda"	1954	56.6575757575758	53.6757575757576
"Akira Kurosawa"	1951	56.7673716012085	53.809667673716
"Akira Kurosawa"	1956	57.009009009009	54.0870870870871
"Akira Kurosawa"	1957	57.1197604790419	54.2185628742515
"Akira Kurosawa"	1958	57.2268656716418	54.355223880597
"Akira Kurosawa"	1961	57.3422619047619	54.4821428571429
"Akira Kurosawa"	1963	57.5650887573965	54.7337278106509
"Akira Kurosawa"	1975	57.6725663716814	54.7758112094395
"Akira Kurosawa"	1980	57.7735294117647	54.8705882352941
"Akira Kurosawa"	1985	57.8826979472141	54.9912023460411
"Akira Kurosawa"	1990	57.9649122807018	55.0029239766082
"Akira Toriyama"	2015	58.0408163265306	55.0787172011662
"Akiva Goldsman"	1994	58.0144927536232	55.0550724637681
"Akiva Goldsman"	1995	57.9393063583815	55.0086705202312
"Akiva Goldsman"	1996	58.0172910662824	55.0374639769452
"Akiva Goldsman"	1997	57.8965517241379	54.9080459770115
"Akiva Goldsman"	1998	57.8428571428571	54.7285714285714
"Akiva Goldsman"	2001	57.9430199430199	54.7863247863248
"Akiva Goldsman"	2003	57.9204545454545	54.7954545454545
"Akiva Goldsman"	2004	57.9546742209632	54.8016997167139
"Akiva Goldsman"	2005	58.0480225988701	54.8728813559322
"Akiva Goldsman"	2006	58.0450704225352	54.7887323943662
"Akiva Goldsman"	2009	58.0421348314607	54.7387640449438
"Akiva Goldsman"	2014	58	54.6218487394958
"Akiva Goldsman"	2015	58	54.5502793296089
"Akiva Goldsman"	2016	57.9442896935933	54.4401114206128
"Akiva Goldsman"	2017	57.8171745152355	54.202216066482
"Akiva Schaffer"	2016	57.8342541436464	54.267955801105
"Akosua Busia"	1998	57.870523415978	54.3333333333333
"Akshat Verma"	2011	57.9368131868132	54.4395604395604
"Aku Louhimies"	1997	58.0164383561644	54.5315068493151
"Al Boasberg"	1927	58.1092896174863	54.6366120218579
"Al Boasberg"	1932	58.1907356948229	54.7438692098093
"Al Boasberg"	1935	58.2798913043478	54.8586956521739
"Al Brodax"	1968	58.349593495935	54.970189701897
"Al C. Ward"	1956	58.3891891891892	55.0459459459459
"Al Franken"	1994	58.4393530997305	55.088948787062
"Al Jean"	2007	58.489247311828	55.1774193548387
"Al Kaplan"	2015	58.4155495978552	55.2144772117962
"Al Pacino"	1996	58.4705882352941	55.283422459893
"Al Ramrus"	1977	58.424	55.2613333333333
"Al Ramrus"	1978	58.4015957446809	55.3031914893617
"Al Reinert"	1995	58.4774535809019	55.4084880636605
"Al Reinert"	2001	58.4497354497354	55.3809523809524
"Al Schwartz"	1982	58.3667546174143	55.3007915567282
"Al Schwartz"	1991	58.2842105263158	55.2078947368421
"Al Septien"	1994	58.2047244094488	55.0629921259843
"Al Septien"	1997	58.0994764397906	54.9528795811518
"Al Septien"	2007	58.0626631853786	55.0130548302872
"Al Wilson"	1985	58.0364583333333	55.0182291666667
"Alê Abreu"	2015	58.0857142857143	55.1220779220779
"Alain-Didier Weill"	2008	57.9844559585492	55.0129533678756
"Alain-Michel Blanc"	2010	58.0335917312661	55.0335917312661
"Alain-Michel Blanc"	2012	58.0515463917526	55.0824742268041
"Alain Berliner"	1997	58.133676092545	55.1748071979434
"Alain Boublil"	2012	58.1871794871795	55.2102564102564
"Alain Corneau"	1991	58.2659846547315	55.2966751918159
"Alain Corneau"	2011	58.2372448979592	55.3163265306122
"Alain Corneau"	2013	58.1526717557252	55.2595419847328
"Alain Gagnol"	2012	58.1878172588832	55.3274111675127
"Alain Godard"	1986	58.2556962025316	55.3746835443038
"Alain Godard"	2001	58.3156565656566	55.3712121212121
"Alain Godard"	2004	58.3576826196474	55.4282115869018
"Alain Godard"	2015	58.3341708542714	55.4597989949749
"Alain Guiraudie"	2014	58.3508771929825	55.5538847117794
"Alain Jakubowicz"	2005	58.395	55.545
"Alain Le Henry"	1985	58.4364089775561	55.6209476309227
"Alain Resnais"	2014	58.4004975124378	55.68407960199
"Alan Alda"	1988	58.3052109181141	55.6178660049628
"Alan Alda"	1990	58.259900990099	55.6039603960396
"Alan Ayckbourn"	2014	58.2246913580247	55.6666666666667
"Alan B. McElroy"	1988	58.2118226600985	55.6009852216749
"Alan B. McElroy"	1992	58.2039312039312	55.5405405405405
"Alan B. McElroy"	1997	58.1495098039216	55.4485294117647
"Alan B. McElroy"	2001	58.1442542787286	55.3520782396088
"Alan B. McElroy"	2002	58.0439024390244	55.2170731707317
"Alan B. McElroy"	2003	58.0340632603406	55.1824817518248
"Alan B. McElroy"	2006	58.0388349514563	55.0970873786408
"Alan B. McElroy"	2009	57.9733656174334	54.9636803874092
"Alan Ball"	1999	58.0579710144928	55.0434782608696
"Alan Ball"	2007	58.055421686747	55.0289156626506
"Alan Bennett"	1985	58.0673076923077	55.1033653846154
"Alan Bennett"	1994	58.1199040767386	55.1942446043165
"Alan Bennett"	2006	58.1483253588517	55.2177033492823
"Alan Bennett"	2015	58.1622911694511	55.2983293556086
"Alan Berliner"	2006	58.1571428571429	55.3571428571429
"Alan Brown"	2012	58.1733966745843	55.3444180522565
"Alan Brown"	2013	58.1631205673759	55.3191489361702
"Alan Burnett"	1990	58.188679245283	55.3962264150943
"Alan Burnett"	1993	58.2588235294118	55.4588235294118
"Alan Burnett"	2008	58.2840375586854	55.5234741784038
"Alan Burnett"	2009	58.3114754098361	55.5105386416862
"Alan Campbell"	1937	58.357476635514	55.6144859813084
"Alan Campbell"	1950	58.4032634032634	55.6713286713287
"Alan Cumming"	2001	58.4	55.6837209302326
"Alan Dent"	1946	58.4385150812065	55.7865429234339
"Alan Dent"	1948	58.4907407407407	55.8680555555556
"Alan DiFiore"	2016	58.473441108545	55.8706697459584
"Alan Freedland"	2010	58.4585253456221	55.8341013824885
"Alan G. Parker"	2010	58.4068965517241	55.7747126436782
"Alan Hackney"	1960	58.447247706422	55.8371559633027
"Alan Hicks"	2014	58.5148741418764	55.9313501144165
"Alan Hruska"	2003	58.4817351598174	55.8036529680365
"Alan Hruska"	2009	58.4054669703872	55.7198177676538
"Alan J. Adler"	1982	58.3022727272727	55.6181818181818
"Alan J. Pakula"	1982	58.3628117913832	55.6666666666667
"Alan J. Pakula"	1989	58.2782805429864	55.6402714932127
"Alan J. Pakula"	1990	58.2979683972912	55.7088036117381
"Alan J. Pakula"	1993	58.3040540540541	55.6981981981982
"Alan Jacobs"	2002	58.2651685393258	55.6629213483146
"Alan Janes"	1999	58.2174887892377	55.627802690583
"Alan Jay Glueckman"	1987	58.1812080536913	55.5346756152125
"Alan Jay Glueckman"	1989	58.1696428571429	55.4776785714286
"Alan Jay Lerner"	1951	58.24	55.6444444444444
"Alan Jay Lerner"	1954	58.2705099778271	55.709534368071
"Alan Jay Lerner"	1958	58.3053097345133	55.7566371681416
"Alan Jay Lerner"	1967	58.3311258278146	55.7350993377483
"Alan Jay Lerner"	1969	58.352422907489	55.6718061674009
"Alan Jay Lerner"	1970	58.389010989011	55.7692307692308
"Alan Mak"	2002	58.469298245614	55.8530701754386
"Alan Mak"	2003	58.5229759299781	55.8949671772429
"Alan Mandel"	1977	58.5807860262009	55.9497816593886
"Alan Mandel"	1978	58.562091503268	55.9825708061002
"Alan Mandell"	1977	58.6195652173913	56.0369565217391
"Alan Moore"	2016	58.5921908893709	56.0086767895879
"Alan Ormsby"	1973	58.5519480519481	55.978354978355
"Alan Ormsby"	1980	58.5745140388769	56.0431965442765
"Alan Ormsby"	1982	58.5452586206897	56.0625
"Alan Ormsby"	1986	58.494623655914	55.9763440860215
"Alan Ormsby"	1995	58.4549356223176	55.9442060085837
"Alan Paradise"	2013	58.4817987152034	55.9957173447537
"Alan Parker"	1980	58.5042735042735	56.0534188034188
"Alan Parker"	1982	58.5394456289979	56.1236673773987
"Alan Parker"	1984	58.5936170212766	56.1851063829787
"Alan Parker"	1987	58.6411889596603	56.2335456475584
"Alan Parker"	1990	58.6737288135593	56.25
