Movie_name	Crtics_reviewer_count	Audience_reviewer_count
1011605-king_and_i	25	60939
1011615-king_kong	56	89829
1011617-king_kong	37	57548
1011626-king_of_kings	20	4331
1011638-king_solomons_mines	12	3216
1011813-lady_vanishes	41	12883
1011818-ladykillers	23	10472
1012007-laura	60	10626
1012225-les_miserables	10	3448
1012264-letter	9	3678
1012370-lilies_of_the_field	19	6107
1012386-lion_in_winter	35	13038
1012439-little_lord_fauntleroy	6	1538
1012478-little_princess	8	15265
1012506-little_romance	26	5198
1012514-little_shop_of_horrors	12	54863
1012515-little_shop_of_horrors	51	181402
1012524-little_women	12	9745
1012525-little_women	6	9792
1012605-lock_up	12	15461
1012611-lolita	41	45746
1012662-long_hot_summer	16	6115
1012665-longest_yard	32	81295
1012672-look_back_in_anger	12	1275
1012772-lost_patrol	6	3
1012813-love_bug	16	39806
1012871-lovesick	5	9
1012920-lust_for_life	9	3235
1012928-m	51	35920
1013004-made_in_heaven	11	3880
1013071-magnificent_ambersons	34	6384
1013077-magnificent_seven	40	53861
1013089-main_event	8	2358
1013139-maltese_falcon	51	57474
1013162-man_for_all_seasons	34	9685
1013227-manchurian_candidate	54	31169
1013238-manhattan_project	17	5177
1013248-manhunter	35	53134
1013259-mannequin	18	44665
1013380-mark_of_zorro	8	4980
1013427-marty	32	6673
1013488-masquerade	14	1524
1013632-mechanic	5	4681
1013772-meteor	20	2
1013775-metropolis	116	62265
1013867-midsummer_nights_dream	10	1220
1013884-mighty_joe_young	19	7770
1013970-miracle_on_34th_street	47	47428
1013973-miracle_worker	21	8800
1014008-missing_in_action	15	12301
1014027-mission	23	38772
1014061-mister_roberts	24	6696
1014090-moby_dick	20	8289
1014137-monkey_business	18	7651
1014138-monkey_business	25	8718
1014217-moonraker	47	57849
1014246-morning_glory	9	2
1014294-moulin_rouge	8	68262
1014325-mr_and_mrs_smith	20	4820
1014352-mrs_soffel	11	3297
1014370-mummy	28	12202
1014372-mummy	8	7687
1014396-murder	15	1445
1014481-mutiny_on_the_bounty	33	8002
1014482-mutiny_on_the_bounty	17	4438
1014536-my_man_godfrey	29	7567
1014592-mysterious_island	12	3233
1014793-near_dark	48	24662
1014804-neighbors	8	5896
1014946-next_of_kin	8	9624
1014986-nicholas_and_alexandra	14	1657
